date,instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
2026-01-23T01:00:00.000000,BTC-23JAN26-99000-P,23JAN26,2026-01-23,99000.0,put,0.1,2.1,-0.70068,-0.00092,0.00003,0.0,-1.0,0.0,216.99,72.85
2026-01-23T01:00:00.000000,BTC-24JAN26-80000-C,24JAN26,2026-01-24,80000.0,call,0.0,1.6,2.73761,-30.31475,0.96015,0.0,0.99351,0.0,112.27,79.46
2026-01-23T01:00:00.000000,BTC-24JAN26-80000-P,24JAN26,2026-01-24,80000.0,put,9.1,10.4,-0.02038,-8.93006,0.96015,0.0,-0.00649,79.5,86.68,79.46
2026-01-23T01:00:00.000000,BTC-24JAN26-82000-C,24JAN26,2026-01-24,82000.0,call,0.0,0.0,2.78509,-50.07491,1.80278,0.00001,0.98667,0.0,104.12,69.9
2026-01-23T01:00:00.000000,BTC-24JAN26-82000-P,24JAN26,2026-01-24,82000.0,put,113.5,138.5,-0.04185,-17.40835,1.80278,0.00001,-0.01333,70.2,74.44,69.9
2026-01-23T01:00:00.000000,BTC-24JAN26-84000-C,24JAN26,2026-01-24,84000.0,call,0.0,0.1,2.821,-67.5339,2.96561,0.00002,0.9761,0.0,85.11,57.31
2026-01-23T01:00:00.000000,BTC-24JAN26-84000-P,24JAN26,2026-01-24,84000.0,put,46.5,69.0,-0.07491,-27.42706,2.96603,0.00002,-0.02391,57.14,59.93,57.31
2026-01-23T01:00:00.000000,BTC-24JAN26-85000-C,24JAN26,2026-01-24,85000.0,call,0.0,0.0,2.81408,-88.55546,4.27299,0.00003,0.96287,0.0,74.91,52.16
2026-01-23T01:00:00.000000,BTC-24JAN26-85000-P,24JAN26,2026-01-24,85000.0,put,16.8,125.1,-0.11628,-41.18784,4.27299,0.00003,-0.03713,50.87,54.89,52.16
2026-01-23T01:00:00.000000,BTC-24JAN26-86000-C,24JAN26,2026-01-24,86000.0,call,0.0,0.0,2.77802,-116.43363,6.24962,0.00005,0.94033,0.0,64.15,46.89
2026-01-23T01:00:00.000000,BTC-24JAN26-86000-P,24JAN26,2026-01-24,86000.0,put,51.2,123.4,-0.18682,-64.0968,6.24962,0.00005,-0.05967,45.17,48.08,46.89
2026-01-23T01:00:00.000000,BTC-24JAN26-87000-C,24JAN26,2026-01-24,87000.0,call,1.0,1.1,2.6676,-163.3576,9.64268,0.00008,0.89406,34.31,52.68,42.64
2026-01-23T01:00:00.000000,BTC-24JAN26-87000-P,24JAN26,2026-01-24,87000.0,put,20.7,62.9,-0.33172,-115.22615,9.64268,0.00008,-0.10594,41.84,43.69,42.64
2026-01-23T01:00:00.000000,BTC-24JAN26-88000-C,24JAN26,2026-01-24,88000.0,call,0.4,12.2,2.42858,-223.06881,14.44328,0.00013,0.80683,33.72,46.0,38.87
